index,start,end,text
75,00:23:35:399,00:24:07:480," is harder usually than token jumping, but it's not always the case.  All right. So that's it for classical complexity.  So now let's move on to parameterized complexity. And let's basically think  about how you can parameterize those two problems, token jumping and token sliding.  So the obvious parameter would be the number of tokens, right? So one of the obvious parameters"
76,00:23:55:240,00:24:25:159," about how you can parameterize those two problems, token jumping and token sliding.  So the obvious parameter would be the number of tokens, right? So one of the obvious parameters  would be the number of tokens. And we're going to denote that by k. Another parameter would be  the length of the sequence. Like how many steps does it take to go from one independent set  to the other? You can also obviously parameterize by tree width or path width or any combination of"
77,00:24:13:799,00:24:45:880," the length of the sequence. Like how many steps does it take to go from one independent set  to the other? You can also obviously parameterize by tree width or path width or any combination of  the above. When we started working on this problem, our initial aim was to basically  study the parameterized complexity of token sliding and token jumping on bipartite graphs  using the parameter k number of tokens, right? Because remember, we saw that token sliding is"
78,00:24:33:639,00:25:05:400," study the parameterized complexity of token sliding and token jumping on bipartite graphs  using the parameter k number of tokens, right? Because remember, we saw that token sliding is  PSPACE complete on bipartite graphs and token jumping is NP complete. So we were interested  to see if basically this is going to give us W1 hardness for token sliding and FPTness for token  jumping. At least that was the initial hope. That's why we started working on this project."
79,00:24:52:040,00:25:25:160," to see if basically this is going to give us W1 hardness for token sliding and FPTness for token  jumping. At least that was the initial hope. That's why we started working on this project.  We weren't able to answer the two questions. So we were able to answer  one side of the question, which is we were able to show that on bipartite graphs, token sliding  is in fact W1 hard. So token sliding parameterized by the number of tokens"
80,00:25:10:840,00:25:45:240," one side of the question, which is we were able to show that on bipartite graphs, token sliding  is in fact W1 hard. So token sliding parameterized by the number of tokens  on bipartite graphs is W1 hard. We were not able to answer the question for token jumping.  So that is still an open question. So having answered that question and failed on the next  question, we started thinking about ways to basically simplify a little bit some of these"
81,00:25:32:920,00:26:07:799," So that is still an open question. So having answered that question and failed on the next  question, we started thinking about ways to basically simplify a little bit some of these  questions. So the next thing we asked ourselves, so there are two directions where you can try  and simplify. So the next thing we asked ourselves was, okay, so from bipartite graphs,  how can I go to other classes of graphs and see where token jumping becomes hard or easy?"
82,00:25:52:360,00:26:31:240," and simplify. So the next thing we asked ourselves was, okay, so from bipartite graphs,  how can I go to other classes of graphs and see where token jumping becomes hard or easy?  And it turned out that if you basically exclude only C4 from your graph,  because in bipartite graphs, you're excluding all odd cycles. And we started thinking about what  kinds of cycles affect the behavior of those problems? So the first question was, what about"
83,00:26:16:359,00:26:52:040," because in bipartite graphs, you're excluding all odd cycles. And we started thinking about what  kinds of cycles affect the behavior of those problems? So the first question was, what about  C4 free graphs? And it turned out that both problems remain W1 hard on C4 free graphs.  Now, if you exclude C3 and C4, it turns out that token jumping becomes FPG, has an order  k squared kernel. But for token sliding, we were not able to determine the complexity."
84,00:26:38:120,00:27:18:519," Now, if you exclude C3 and C4, it turns out that token jumping becomes FPG, has an order  k squared kernel. But for token sliding, we were not able to determine the complexity.  Now, if you go to the other side of that, so what if we enforce both bipartite tightness  as well as C4 freeness? So in that case, we were able to show that both problems became FPG.  Okay, and basically the bipartite bounded degree graphs was just a stepping stone"
85,00:27:01:240,00:27:34:599," as well as C4 freeness? So in that case, we were able to show that both problems became FPG.  Okay, and basically the bipartite bounded degree graphs was just a stepping stone  to get to the bipartite C4 free graph result.  So let me repeat that maybe slightly more clearly. So after basically answering the first  question, which was bipartite graphs, we were able to show that token sliding was W1 hard,"
86,00:27:23:240,00:27:50:599," So let me repeat that maybe slightly more clearly. So after basically answering the first  question, which was bipartite graphs, we were able to show that token sliding was W1 hard,  but we were not able to determine the complexity of token jumping.  So then we went to C4 free graphs, and we were able to show that both problems are actually W1  hard. Then if we added one more constraint, which was C3 C4 free graphs,"
87,00:27:38:599,00:28:05:240," So then we went to C4 free graphs, and we were able to show that both problems are actually W1  hard. Then if we added one more constraint, which was C3 C4 free graphs,  we got FPGness for token jumping, but it remained open for token sliding.  And on the other side of the spectrum, so if we keep bipartite and enforce the C4 freeness,  we get FPG for both problems."
88,00:27:56:440,00:28:40:839," And on the other side of the spectrum, so if we keep bipartite and enforce the C4 freeness,  we get FPG for both problems.  And as a side note, this blue result is not part of our paper. This was known prior to our paper.  So any questions about the results?  No questions. All right, cool."
89,00:28:20:440,00:29:11:560," So any questions about the results?  No questions. All right, cool.  So lots of open problems. The first and obvious one is, is token jumping FPG parameterized by  k on bipartite graphs? And that's really, I mean, that was the initial question that we set out to  answer and couldn't. So that remains open. And so I will not be going over the hardness reduction"
90,00:28:53:400,00:29:31:880," k on bipartite graphs? And that's really, I mean, that was the initial question that we set out to  answer and couldn't. So that remains open. And so I will not be going over the hardness reduction  for token sliding on bipartite graphs, because it's quite technical. I don't feel a talk is the  right place to go over it. But if you go over the reduction, you will see that the two problems  really behave differently. And there doesn't seem to be a chance to basically make the same"
91,00:29:16:920,00:29:51:480," right place to go over it. But if you go over the reduction, you will see that the two problems  really behave differently. And there doesn't seem to be a chance to basically make the same  type of reduction work for token jumping. So the second interesting open question is,  how about token jumping parameterized by k on triangle-free graphs? That's basically  even more general than question one. And the reason why I mentioned this question separately"
